item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,date,day_of_week,is_promotional
ITM10000,Groceries,275,392,21,3,53,14,0.796,LOC1000_0,A,35,0.88,19.11285751537849,0.019,0,0.95,1872,76.16,0.71,12/11/2022,407,1.101,2023-01-01,6,False
ITM10000,Groceries,576,503,21,3,68,19,0.796,LOC1000_1,A,35,0.88,19.11285751537849,0.019,0,0.95,1874,56.73,0.98,12/04/2022,494,1.28,2023-01-02,0,False
ITM10000,Groceries,468,458,21,3,62,17,0.796,LOC1000_2,A,35,0.88,19.11285751537849,0.019,1,0.92,2116,61.16,0.8,12/09/2022,465,1.208,2023-01-03,1,False
ITM10000,Groceries,473,466,21,3,63,17,0.796,LOC1000_3,A,35,0.88,19.11285751537849,0.019,0,0.95,1570,61.32,0.91,12/25/2022,407,1.28,2023-01-04,2,False
ITM10000,Groceries,366,399,21,3,54,15,0.796,LOC1000_0,A,35,0.88,19.11285751537849,0.019,1,0.92,1645,65.37,0.94,12/26/2022,364,1.158,2023-01-05,3,False
ITM10000,Groceries,289,251,21,3,34,9,0.796,LOC1000_1,A,35,0.88,19.11285751537849,0.019,1,0.92,1171,56.67,0.71,12/11/2022,215,1.208,2023-01-06,4,False
ITM10000,Groceries,309,295,21,3,40,11,0.796,LOC1000_2,A,35,0.88,19.11285751537849,0.019,0,0.95,1343,60.33,1.0,12/27/2022,304,1.28,2023-01-07,5,False
ITM10000,Groceries,322,355,21,3,48,13,0.796,LOC1000_3,A,35,0.88,19.11285751537849,0.019,0,0.95,1655,65.74,1.0,12/16/2022,344,1.224,2023-01-08,6,False
ITM10000,Groceries,619,495,21,3,67,18,0.796,LOC1000_0,A,35,0.88,19.11285751537849,0.019,0,0.95,2201,53.57,0.77,01/05/2023,461,1.28,2023-01-09,0,False
ITM10000,Groceries,415,547,21,3,74,20,0.796,LOC1000_1,A,35,0.88,19.11285751537849,0.019,0,0.95,1813,73.0,0.71,12/12/2022,490,1.135,2023-01-10,1,False
ITM10000,Groceries,432,517,21,3,70,19,0.796,LOC1000_2,A,35,0.88,19.11285751537849,0.019,0,0.95,2250,69.15,0.77,12/14/2022,478,1.181,2023-01-11,2,False
ITM10000,Groceries,433,369,21,3,50,14,0.796,LOC1000_3,A,35,0.88,19.11285751537849,0.019,1,0.92,1300,55.98,1.0,01/05/2023,357,1.208,2023-01-12,3,False
ITM10000,Groceries,348,362,21,3,49,13,0.796,LOC1000_0,A,35,0.88,19.11285751537849,0.019,2,0.89,1311,63.53,0.75,01/06/2023,343,1.113,2023-01-13,4,False
ITM10000,Groceries,292,266,21,3,36,10,0.796,LOC1000_1,A,35,0.88,19.11285751537849,0.019,0,0.95,1282,58.4,0.97,12/18/2022,229,1.28,2023-01-14,5,False
ITM10000,Groceries,288,325,21,3,44,12,0.796,LOC1000_2,A,35,0.88,19.11285751537849,0.019,1,0.92,1456,66.78,0.91,01/10/2023,301,1.14,2023-01-15,6,False
ITM10000,Groceries,412,458,21,3,62,17,0.796,LOC1000_3,A,35,0.88,19.11285751537849,0.019,0,0.95,1929,66.17,0.87,01/13/2023,437,1.22,2023-01-16,0,False
ITM10000,Groceries,534,480,21,3,65,18,0.796,LOC1000_0,A,35,0.88,19.11285751537849,0.019,1,0.92,2253,57.94,0.99,12/22/2022,421,1.208,2023-01-17,1,False
ITM10000,Groceries,437,399,21,3,54,15,0.796,LOC1000_1,A,35,0.88,19.11285751537849,0.019,1,0.92,1537,58.49,0.78,12/28/2022,371,1.208,2023-01-18,2,False
